genotype,condition,panel,metric,n_mice,mean,sd,sem
IFNg_KO_het,naive,LEFT@damaged,morph_roi_area_mm2,1,5.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_tissue_area_mm2,1,2.5,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_airspace_area_mm2,1,2.5,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_airspace_fraction,1,0.5,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_tissue_fraction,1,0.5,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_tissue_to_airspace_ratio,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_finepass_coverage_of_roi,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mli_direct_um,1,10.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mli_indirect_um,1,25.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_chord_truncated_fraction,1,0.047619047619047616,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_chord_truncated_length_fraction,1,0.2,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_chord_n_total,1,2000.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mli_direct_h_um,1,10.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mli_direct_v_um,1,10.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mli_anisotropy_ratio,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_septal_thickness_edm_um,1,3.3333333333333335,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_septal_thickness_2a_over_b_um,1,5.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_septal_thickness_estimator_ratio,1,0.6666666666666667,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_boundary_length_density_per_um,1,0.2,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_surface_density_per_um,1,0.25464790894703254,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_surface_density_mm2_per_mm3,1,254.64790894703253,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_perimeter_total_mm,1,1000.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_airspace_component_count,1,400.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mean_airspace_component_area_um2,1,6250.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_mean_airspace_component_eqdiam_um,1,89.20620580763855,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_confluent_airspace_fraction,1,0.4,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_airspace_component_density_per_mm2,1,80.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_fractal_box_dimension,1,1.7767592834213048,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_fractal_fit_points,1,5.0,0.0,0.0
IFNg_KO_het,naive,LEFT@damaged,morph_n_region_rows,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_roi_area_mm2,1,95.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_tissue_area_mm2,1,9.5,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_airspace_area_mm2,1,85.5,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_airspace_fraction,1,0.9,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_tissue_fraction,1,0.1,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_tissue_to_airspace_ratio,1,0.1111111111111111,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_finepass_coverage_of_roi,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mli_direct_um,1,60.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mli_indirect_um,1,63.333333333333336,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_chord_truncated_fraction,1,0.006622516556291391,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_chord_truncated_length_fraction,1,0.0055248618784530384,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_chord_n_total,1,15000.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mli_direct_h_um,1,60.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mli_direct_v_um,1,60.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mli_anisotropy_ratio,1,1.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_septal_thickness_edm_um,1,3.4782608695652173,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_septal_thickness_2a_over_b_um,1,2.111111111111111,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_septal_thickness_estimator_ratio,1,1.6475972540045767,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_boundary_length_density_per_um,1,0.09473684210526316,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_surface_density_per_um,1,0.12062269371175227,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_surface_density_mm2_per_mm3,1,120.62269371175228,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_perimeter_total_mm,1,9000.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_airspace_component_count,1,20000.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mean_airspace_component_area_um2,1,4275.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_mean_airspace_component_eqdiam_um,1,73.77736139048902,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_confluent_airspace_fraction,1,0.05847953216374269,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_airspace_component_density_per_mm2,1,210.52631578947367,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_fractal_box_dimension,1,1.7767592834213048,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_fractal_fit_points,1,5.0,0.0,0.0
IFNg_KO_het,naive,LEFT@intact,morph_n_region_rows,1,1.0,0.0,0.0
