image,output_key,region,section_id,mouse_id,genotype,condition,panel,module_id,region_area_um2,morph_tissue_positive_area_um2,morph_airspace_positive_area_um2,morph_measured_positive_area_um2,morph_aircomp_positive_area_um2,morph_aircomp_n_components,morph_airbig_positive_area_um2,class_morph_perimeterum_count,class_morph_chordlen000um_count,class_morph_chordn000_count,class_morph_chordlen045um_count,class_morph_chordn045_count,class_morph_chordlen090um_count,class_morph_chordn090_count,class_morph_chordlen135um_count,class_morph_chordn135_count,class_morph_testlineum_count,class_morph_transition_count,class_morph_chordtruncn_count,class_morph_chordtrunclenum_count,class_morph_septaldistum_count,class_morph_septalpx_count,class_morph_airdistum_count,class_morph_airpx_count,class_morph_sdist_b00_count,class_morph_adist_b00_count,class_morph_sdist_b01_count,class_morph_adist_b01_count,class_morph_sdist_b02_count,class_morph_adist_b02_count,class_morph_sdist_b03_count,class_morph_adist_b03_count,class_morph_sdist_b04_count,class_morph_adist_b04_count,class_morph_sdist_b05_count,class_morph_adist_b05_count,class_morph_sdist_b06_count,class_morph_adist_b06_count,class_morph_sdist_b07_count,class_morph_adist_b07_count,class_morph_sdist_b08_count,class_morph_adist_b08_count,class_morph_sdist_b09_count,class_morph_adist_b09_count,class_morph_sdist_b10_count,class_morph_adist_b10_count,class_morph_sdist_b11_count,class_morph_adist_b11_count,class_morph_sdist_b12_count,class_morph_adist_b12_count,class_morph_sdist_b13_count,class_morph_adist_b13_count,class_morph_sdist_b14_count,class_morph_adist_b14_count,class_morph_sdist_b15_count,class_morph_adist_b15_count,class_morph_sdist_b16_count,class_morph_adist_b16_count,class_morph_sdist_b17_count,class_morph_adist_b17_count,class_morph_sdist_b18_count,class_morph_adist_b18_count,class_morph_sdist_b19_count,class_morph_adist_b19_count,class_morph_sdist_b20_count,class_morph_adist_b20_count,class_morph_sdist_b21_count,class_morph_adist_b21_count,class_morph_sdist_b22_count,class_morph_adist_b22_count,class_morph_sdist_b23_count,class_morph_adist_b23_count,class_morph_rows_count,morph_px_fine_um,morph_px_coarse_um,morph_ds_fine,morph_tissue_threshold,morph_threshold_locked,morph_channels,morph_dist_bin_um,morph_ager_threshold,morph_damage_sigma_um,morph_damage_cutoff,morph_erode_um,morph_roi_thr,morph_n_blocks,morph_coverage_complete
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__damaged_edge,parenchyma_damaged_edge,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@damaged_edge,morphometry.architecture,3621458.130226429,679180.5100072486,2942277.6202191804,3621458.130226429,511209.293625126,5523.0,15844.364934290896,418687.28234330023,1143717.2872474354,71580.0,1641402.724836557,96267.0,1137794.3726784815,72340.0,1637973.7640818616,97178.0,1.2671073037006967E7,927808.0,385294.0,4978034.57895083,456193.2467550966,356643.0,4500499.275549497,1545013.0,0.0,0.0,231781.0,448668.0,52700.0,152728.0,0.0,0.0,51590.0,367208.0,0.0,0.0,8439.0,155071.0,1798.0,63104.0,1397.0,63440.0,1544.0,70581.0,644.0,44931.0,0.0,0.0,1050.0,56746.0,324.0,12067.0,446.0,18967.0,437.0,16212.0,402.0,14314.0,493.0,10234.0,482.0,13164.0,212.0,2729.0,537.0,8967.0,101.0,1456.0,241.0,3631.0,2025.0,20795.0,1.0,1.3799894149490792,2.7599788298981585,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,109,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__damaged_core,parenchyma_damaged_core,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@damaged_core,morphometry.architecture,301172.4309649323,48883.29368970108,252289.13727523122,301172.4309649323,2300.4799087287743,126.0,0.0,35641.43412950589,169664.1786103286,8283.0,235249.73664890596,11053.0,166973.19925117728,8354.0,238493.29542767585,11170.0,1053768.3254260044,78886.0,589.0,35141.302483043204,25103.335257314266,25669.0,455045.841028917,132479.0,0.0,0.0,18701.0,26011.0,3706.0,12431.0,0.0,0.0,2890.0,28269.0,0.0,0.0,274.0,14312.0,46.0,7170.0,33.0,6817.0,12.0,8787.0,4.0,5657.0,0.0,0.0,3.0,7419.0,0.0,1858.0,0.0,2501.0,0.0,2299.0,0.0,1965.0,0.0,1431.0,0.0,1860.0,0.0,431.0,0.0,1257.0,0.0,220.0,0.0,485.0,0.0,1299.0,1.0,1.3799894149490792,2.7599788298981585,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,109,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__intact_edge,parenchyma_intact_edge,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@intact_edge,morphometry.architecture,4.96466416753094E7,1.0993100333916474E7,3.865354134139292E7,4.96466416753094E7,3.803612719343841E7,49632.0,3.3141856187617946E7,5804064.515395412,1.4843915481445184E7,956124.0,2.134225571835321E7,1312923.0,1.4648150183040526E7,958962.0,2.1274353708371453E7,1310738.0,1.7370799277232343E8,1.2885007E7,4593674.0,6.35253041281445E7,7687118.162344234,5772563.0,5.9882039434660874E7,2.0297277E7,0.0,0.0,3356659.0,5646924.0,917755.0,1990292.0,0.0,0.0,1066066.0,4716143.0,0.0,0.0,224943.0,2100356.0,53401.0,828474.0,42795.0,868011.0,36197.0,1002939.0,16980.0,635426.0,0.0,0.0,17843.0,826845.0,4003.0,175128.0,5410.0,273826.0,4338.0,238200.0,3968.0,203477.0,3139.0,149103.0,3783.0,179316.0,1017.0,37506.0,2954.0,124264.0,520.0,18825.0,1324.0,47505.0,9468.0,234717.0,1.0,1.3799894149490792,2.7599788298981585,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,109,true
IFNg KO(het) 26.03.25 m4-1 pr8 infection,IFNg KO(het) 26.03.25 m4-1 pr8 infection__morph__ds4__intact_core,parenchyma_intact_core,IFNg KO(het) 26.03.25 m4-1 pr8 infection,m4-1,IFNg_KO_het,PR8,LEFT@intact_core,morphometry.architecture,4904470.815746917,1166705.1441747092,3737765.671572208,4904470.815746917,412014.4281566952,3808.0,218507.50391352613,615627.5003018368,2450378.204654332,142450.0,3470525.926094444,194166.0,2460599.786250858,143477.0,3460699.621370555,192738.0,1.716018953678499E7,1366459.0,9418.0,636218.6848738755,893052.8261715402,612646.0,7452638.445430441,1962730.0,0.0,0.0,348726.0,429849.0,93347.0,186435.0,0.0,0.0,110867.0,412233.0,0.0,0.0,25479.0,207274.0,7131.0,93516.0,5842.0,93108.0,5677.0,117908.0,2871.0,74761.0,0.0,0.0,3464.0,99527.0,822.0,24212.0,1199.0,34113.0,916.0,30477.0,913.0,27063.0,708.0,19774.0,941.0,25640.0,240.0,5769.0,752.0,17116.0,113.0,2976.0,370.0,6813.0,2268.0,54166.0,1.0,1.3799894149490792,2.7599788298981585,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,305.6912415747549,109,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__damaged_edge,parenchyma_damaged_edge,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@damaged_edge,morphometry.architecture,508634.58432330354,99672.862535559,408961.72178774455,508634.58432330354,203584.85443935497,1994.0,0.0,58463.43832079462,63224.215045892,5209.0,78795.83976704914,6660.0,52736.29549227898,5020.0,86738.85073551704,6782.0,1779654.9719340554,129156.0,123460.0,1196609.6314449555,59057.577862639766,52339.0,499866.1764469107,214749.0,0.0,0.0,34054.0,87218.0,7976.0,21544.0,0.0,0.0,8283.0,52953.0,0.0,0.0,1300.0,16798.0,266.0,5242.0,185.0,5466.0,138.0,5444.0,54.0,3400.0,0.0,0.0,41.0,4568.0,11.0,791.0,12.0,1546.0,4.0,1418.0,7.0,1164.0,3.0,1002.0,4.0,1155.0,0.0,242.0,1.0,1043.0,0.0,165.0,0.0,421.0,0.0,3169.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,101,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__damaged_core,parenchyma_damaged_core,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@damaged_core,morphometry.architecture,3062.2282228773743,89.50542691246056,2972.7227959649135,3062.2282228773743,0.0,0.0,0.0,55.54549051924583,723.1144534333175,11.0,15.612797972418404,3.0,34.49973537372698,4.0,2509.7572740662595,27.0,10714.390743388474,126.0,22.0,1370.7612076201335,50.074081082396724,47.0,30791.698968050023,1561.0,0.0,0.0,32.0,41.0,6.0,10.0,0.0,0.0,8.0,31.0,0.0,0.0,1.0,16.0,0.0,7.0,0.0,8.0,0.0,15.0,0.0,11.0,0.0,0.0,0.0,21.0,0.0,8.0,0.0,13.0,0.0,10.0,0.0,17.0,0.0,11.0,0.0,28.0,0.0,9.0,0.0,28.0,0.0,7.0,0.0,23.0,0.0,1247.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,101,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__intact_edge,parenchyma_intact_edge,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@intact_edge,morphometry.architecture,5.0520877363008305E7,9182795.943488393,4.133808141951991E7,5.0520877363008305E7,3.8997864909983575E7,33722.0,3.602532493361406E7,5366870.653639884,1.5186540633377971E7,839873.0,2.1934013938703522E7,1160605.0,1.4953144403617047E7,838308.0,2.1770590879126698E7,1153680.0,1.7676684471872544E8,1.1917786E7,4794267.0,7.114853796230789E7,5646084.036327224,4821958.0,6.662094858014812E7,2.170695E7,0.0,0.0,3053381.0,5499766.0,778739.0,1979475.0,0.0,0.0,777748.0,4940898.0,0.0,0.0,126247.0,2328864.0,24792.0,939646.0,18664.0,1010076.0,15068.0,1203323.0,6701.0,779003.0,0.0,0.0,6750.0,1035034.0,1424.0,223603.0,1954.0,347928.0,1335.0,308060.0,1326.0,262098.0,998.0,192292.0,1206.0,228863.0,362.0,47493.0,986.0,151634.0,151.0,23335.0,553.0,54066.0,3573.0,151493.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,101,true
IFNg KO(het) 26.03.25 m4-2 pr8 no infection,IFNg KO(het) 26.03.25 m4-2 pr8 no infection__morph__ds4__intact_core,parenchyma_intact_core,IFNg KO(het) 26.03.25 m4-2 pr8 no infection,m4-2,IFNg_KO_het,naive,LEFT@intact_core,morphometry.architecture,3794565.434616697,681418.1456800598,3113147.2889366373,3794565.434616697,21374.65769500973,936.0,0.0,394426.8664782274,2012713.1817138123,90166.0,2813943.3685626253,122888.0,1983657.5045820558,89387.0,2798145.1686142813,122655.0,1.3276755946571484E7,876373.0,13473.0,887082.1884909524,447491.9666784744,357818.0,6933022.344249981,1634738.0,0.0,0.0,222629.0,280050.0,57961.0,128029.0,0.0,0.0,58259.0,311204.0,0.0,0.0,9585.0,179840.0,1924.0,80887.0,1562.0,86985.0,1323.0,116480.0,691.0,76370.0,0.0,0.0,831.0,108335.0,200.0,26671.0,290.0,38847.0,240.0,35922.0,239.0,31569.0,166.0,23872.0,240.0,30053.0,58.0,6685.0,224.0,20545.0,46.0,3432.0,120.0,7991.0,1230.0,40971.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,264.51614104626225,101,true
IFNg KO(hom) 26.03.25 m2 pr8 infection,IFNg KO(hom) 26.03.25 m2 pr8 infection__morph__ds4__damaged_edge,parenchyma_damaged_edge,IFNg KO(hom) 26.03.25 m2 pr8 infection,m2,IFNg_KO_hom,PR8,LEFT@damaged_edge,morphometry.architecture,3253906.9511665865,387891.76341839426,2866015.1877481923,3253906.9511665865,849844.5066798861,4430.0,454588.5414344603,286824.0139437037,662450.118752159,35276.0,959820.174551379,47732.0,630695.1823247633,35348.0,942357.2600192273,47334.0,1.138505296795167E7,635429.0,445328.0,7222975.591320179,195401.2621995705,203685.0,5876030.428567162,1504967.0,0.0,0.0,153050.0,381195.0,27115.0,124762.0,0.0,0.0,20283.0,320456.0,0.0,0.0,2224.0,142493.0,398.0,62197.0,227.0,64916.0,175.0,75055.0,53.0,51022.0,0.0,0.0,53.0,68205.0,15.0,14665.0,19.0,24419.0,16.0,21524.0,16.0,19441.0,10.0,14149.0,13.0,18382.0,3.0,3711.0,7.0,14365.0,4.0,2207.0,2.0,6312.0,2.0,75491.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,286.4572179457721,119,true
IFNg KO(hom) 26.03.25 m2 pr8 infection,IFNg KO(hom) 26.03.25 m2 pr8 infection__morph__ds4__damaged_core,parenchyma_damaged_core,IFNg KO(hom) 26.03.25 m2 pr8 infection,m2,IFNg_KO_hom,PR8,LEFT@damaged_core,morphometry.architecture,29692.949285512448,2353.8022907191757,27339.14699479327,29692.949285512448,7.617483141486005,1.0,0.0,1845.569619483219,12026.60775128122,402.0,16122.165506268553,546.0,10372.000442757271,408.0,14742.384485456078,524.0,103892.2764122599,4125.0,202.0,14255.32509518571,1193.2936707021693,1236.0,171279.73397475822,14356.0,0.0,0.0,925.0,1402.0,164.0,750.0,0.0,0.0,123.0,1913.0,0.0,0.0,19.0,1103.0,3.0,574.0,1.0,587.0,1.0,856.0,0.0,604.0,0.0,0.0,0.0,903.0,0.0,233.0,0.0,356.0,0.0,360.0,0.0,338.0,0.0,269.0,0.0,377.0,0.0,82.0,0.0,272.0,0.0,58.0,0.0,108.0,0.0,3211.0,1.0,1.379989414949079,2.759978829898158,4.0,880.0,true,0,0.5,150.0,40.0,0.14,40.0,286.4572179457721,119,true
