genotype,condition,panel,metric,n_mice,mean,sd,sem
IFNg_KO_het,naive,LEFT,morph_roi_area_mm2,1,73.89083573964946,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_area_mm2,1,0.329153827007092,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_area_mm2,1,1.4629961967240375,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_fraction,1,0.8163357851471513,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_fraction,1,0.18366421485284867,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_tissue_to_airspace_ratio,1,0.22498611257099513,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_finepass_coverage_of_roi,1,0.024254022921674313,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_um,1,26.348546537696244,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_indirect_um,1,37.00137520206446,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_truncated_fraction,1,0.2675251421292372,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_truncated_length_fraction,1,0.2522623342391946,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_chord_n_total,1,295558.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_h_um,1,25.992941999112944,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_direct_v_um,1,26.69680968830751,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mli_anisotropy_ratio,1,1.0270791851579781,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_edm_um,1,5.919463588703779,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_2a_over_b_um,1,4.321477276376185,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_septal_thickness_estimator_ratio,1,1.3697777889665548,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_boundary_length_density_per_um,1,0.08500066209158087,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_surface_density_per_um,1,0.10822620430367184,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_surface_density_mm2_per_mm3,1,108.22620430367185,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_perimeter_total_mm,1,152.33393858458837,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_component_count,1,577.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mean_airspace_component_area_um2,1,127120.57186699564,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_mean_airspace_component_eqdiam_um,1,402.31199217821865,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_confluent_airspace_fraction,1,0.9997908396707147,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_airspace_component_density_per_mm2,1,7.808816806904575,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_consolidated_fraction,1,0.007915123909245245,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_agerdmg_area_fraction,1,0.004609715876968678,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_arch_vs_ager_sensitivity,1,0.09752879346975288,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_arch_vs_ager_specificity,1,0.9924998827087173,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_arch_vs_ager_jaccard,1,0.03723149950483215,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_arch_vs_ager_kappa,1,0.06635046144076044,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_arch_vs_ager_area_agreement,1,0.9883743202692242,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_fractal_box_dimension,1,1.587330520186062,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_fractal_fit_points,1,7.0,0.0,0.0
IFNg_KO_het,naive,LEFT,morph_n_region_rows,1,1.0,0.0,0.0
